Fecha,Estacion,PM10,Latitud,Longitud
2022-12-19,Conselleria Meteo,23.0,39.483155093277645,-0.4065135440902669
2022-12-18,Conselleria Meteo,19.0,39.483155093277645,-0.4065135440902669
2022-12-17,Conselleria Meteo,21.0,39.483155093277645,-0.4065135440902669
2022-12-16,Conselleria Meteo,7.0,39.483155093277645,-0.4065135440902669
2022-12-15,Conselleria Meteo,6.0,39.483155093277645,-0.4065135440902669
2022-12-14,Conselleria Meteo,9.0,39.483155093277645,-0.4065135440902669
2022-12-13,Conselleria Meteo,6.0,39.483155093277645,-0.4065135440902669
2022-12-12,Conselleria Meteo,23.0,39.483155093277645,-0.4065135440902669
2022-12-11,Conselleria Meteo,8.0,39.483155093277645,-0.4065135440902669
2022-12-10,Conselleria Meteo,6.0,39.483155093277645,-0.4065135440902669
2022-12-09,Conselleria Meteo,14.0,39.483155093277645,-0.4065135440902669
